protocol_id,task,model,seed,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,0,low,7008,120.00001525878906,530.0,26.525174814740367,16.67161227404799,191.23593192267856,28.614041565659353,22.90278487336146,188.01891840178337,26.53916157199168,21.304562180009608,192.58420552538743,21.225339271536317,14.359139235596679,197.12795902077914,16.824559125476824,11.471021582546843,197.75856807224216,35.51412685310785,13.320553498725369,180.69000859320056,0.8252853881278539,214.620361328125
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,0,medium,7005,120.00001525878906,530.0,70.8437494217877,41.54637365260863,77.34145197979682,57.54949031245074,34.08158856976637,69.48848673069334,61.786242865518375,37.465984180567524,70.03146516291747,66.0597981118504,38.726046023208866,75.76136057047198,74.46085149341377,44.03595111528352,95.29279789614378,89.75736842356116,53.422298374216865,76.13314953875751,0.9116345467523198,316.4962463378906
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,0,high,6988,120.00001525878906,530.0,55.317537831534956,34.852536228444144,62.783166042635926,49.09123767302079,32.263714075770864,72.27300566676442,47.209977654312596,26.081726185580834,64.80660190236331,54.130400841218496,30.694360515766984,55.099573701121585,62.20155600844322,40.08534314199796,35.676355730533835,62.14728061005011,45.137537223104076,86.06029321239652,0.9227246708643388,324.3698425292969
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,1,low,7008,120.00001525878906,530.0,30.04229540960201,22.507064946274777,191.71298324764643,26.116969117333255,22.62774849046855,189.3168458828786,22.102582066450694,17.84772624599335,191.89900590169862,27.004624416889644,23.67957036244815,196.98272505769992,23.225176322267984,18.343908147724797,197.83319084812766,45.534808689741226,30.03637148473905,182.5331485478273,0.8255993150684932,189.82711791992188
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,1,medium,7005,120.00001525878906,530.0,72.62556348325273,39.79735771968822,78.66744488449778,53.47760870740141,30.66252479525994,70.05934209905351,58.83757145506012,33.294089216712884,71.01612083120256,64.83552287085531,34.58556786373119,76.91237678553709,74.95961814516822,42.29767604830604,100.12733426889906,101.13386440803096,58.14693067443107,75.22205043779675,0.908865096359743,311.5412292480469
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,1,high,6988,120.00001525878906,530.0,56.72156190682884,34.250693367847255,60.259192155000676,48.031782013853466,28.84820873804207,68.13041943465467,45.30015390276293,23.296750049558312,62.252492118617994,55.12380501984226,30.862654978026644,54.2599838160302,66.83472182558039,42.522664329428366,39.33160756182429,64.97698036491417,45.723188744180874,77.32145784387626,0.9190612478534631,333.341552734375
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,2,low,7008,120.00001525878906,530.0,24.059584387230938,12.863817606886773,190.89816957049018,18.714024853728514,10.074421649654163,186.46764314400315,18.805123099302797,11.055476803757829,192.20355961046448,19.289617501789692,12.728788864667013,196.93250188624657,17.93032241229604,11.878123092869101,197.9522121137309,38.68959573646766,18.58227762348576,180.93493109800582,0.8255993150684932,200.17262268066406
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,2,medium,7005,120.00001525878906,530.0,74.83468877877732,46.18706057388556,80.19159557065079,64.9722019382086,45.58560845145662,73.90349739584822,69.22915697118087,47.55145996442273,75.20094741258254,70.29857117835772,44.181180995638925,81.53905935731015,78.63869326826644,46.8795408348285,96.37877399883301,88.66316503928459,46.73751262308103,73.93569968867999,0.9086081370449679,320.3242492675781
SpikeLoRA-TS-R2-corrected-v1,SR,mlp,2,high,6988,120.00001525878906,530.0,58.44404094472973,36.54623680573296,61.03927428487971,50.284551191526326,31.171555751108347,70.11744539861492,55.12488982400883,35.66413225851949,66.26981547804573,59.42620430585152,36.063493050639124,56.176623959393645,69.27304597272214,46.22673032921112,37.534393581744865,56.40045555280737,33.60527263918671,75.09809300659938,0.9180595306239268,342.4735412597656
SpikeLoRA-TS-R2-corrected-v1,SR,lstm,0,low,7008,120.00001525878906,530.0,20.561873098510226,8.808171263568477,190.26786216686037,12.2443578346418,8.002929391381947,184.97109379035527,13.80076365406336,8.266311630266442,190.3530495895105,14.647024198790245,6.987377866762414,196.6224518503336,16.14255294468293,7.758984861852916,197.79316629602758,36.03401749633649,13.025252567578669,181.59954930807484,0.8264840182648402,200.32984924316406
