protocol_id,protocol_date,config_hash,task,seed,target_col,time_col,frequency_minutes,lookback_steps,lookback_minutes,horizons_steps,horizons_minutes,n_features,feature_names,target_feature_index,data_file_sha256,device,torch_version,mode,fraction,best_epoch,best_val_loss,epochs_ran,train_time_sec,peak_gpu_memory_mb,peak_process_rss_mb,total_params,trainable_params,total_model_size_mb,trainable_parameter_size_mb,trainable_ratio,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,conformal_alpha,conformal_calibration_n,picp95,mpiw95,picp95_h1,mpiw95_h1,conformal_q95_h1,picp95_h2,mpiw95_h2,conformal_q95_h2,picp95_h4,mpiw95_h4,conformal_q95_h4,picp95_h8,mpiw95_h8,conformal_q95_h8,picp95_h24,mpiw95_h24,conformal_q95_h24,encoder_sparsity_pct,spikelora_sparsity_pct,inference_ms_per_sample,inference_ms_per_batch,selected_adaptation_windows,adaptation_pool_windows,fraction_of_total_valid_windows,base_pretrain_time_sec,base_checkpoint,lora_rank,lora_alpha,spikelora_threshold,adapter_targets,strict_adapter_only,prediction_file,spikelora_adapter_0_sparsity_pct,spikelora_adapter_1_sparsity_pct
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,fullft,0.1,1,0.1208071028803027,8,13.073877581999112,430.693359375,1792.98046875,75269,75269,0.2930173873901367,0.2871284484863281,1.0,77.96731131393098,48.015351978333065,112.28949774791224,74.15069760766029,45.76661039946119,111.67625859405356,72.83858295486596,45.00648054670853,111.71834436311704,75.24332891185387,47.61753071049816,111.95979886604496,80.02096557775629,50.01960953003645,112.45737814144388,86.751424007377,51.66652870496099,113.6357087749018,0.05,5226,0.9901814199323842,399.4894065206286,0.9911432788914812,387.0882167304835,268.26934814453125,0.9920479977143946,395.7639362801484,274.4188232421875,0.9924289319556212,397.7717390934585,274.9736022949219,0.9903814104090282,400.46864302209104,278.3505249023437,0.9849054806913956,416.3544974769617,289.5498046875,75.52949694194456,,0.1044801968767217,13.37346520022038,2098,20976,0.02000362315386,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,,,,[],False,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_fullft_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lora,0.1,1,0.1271583019654914,8,11.5717891889999,433.15625,1792.98046875,76429,1160,0.2989263534545898,0.004425048828125,0.0151774849860654,71.06152646117816,42.64152913843528,111.96070712871236,67.46902088101963,41.1138399693689,111.74574036853164,67.59549250159276,40.699026619024,111.68219950656528,69.00917532406267,42.28369434851305,111.37940654913572,73.3678512484512,44.7028230077045,111.84059561343504,77.34581730168213,44.40826174756594,113.15559360589424,0.05,5226,0.9881148516737298,368.6979494996437,0.9886672063235084,355.287155486318,245.7250366210937,0.9881910385219752,353.7581821741544,245.333740234375,0.9883338888624352,360.2731984948029,248.56610107421875,0.9884767392028952,370.7487187623285,256.1070556640625,0.9869053854578352,403.4224925806145,281.2942199707031,75.52949694194456,,0.1118482007804289,14.3165696998949,2098,20976,0.02000362315386,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_lora_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,spikelora,0.1,1,0.1206545465199189,8,14.535014762001085,445.64453125,1793.0390625,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,67.44397705058826,38.83364283518702,111.95026042688608,63.90668138039684,37.5465002503601,113.17534827997062,62.75214276486554,36.20461156905126,111.78766802325666,64.68862560177138,37.51772053648952,110.94956272132646,67.7807221304276,38.83219022956566,111.21282200134108,77.0889763882967,44.06719159046858,112.62590110853554,0.05,5226,0.9884005523546496,352.124280328198,0.9897147754868816,332.10948811709943,233.35302734375,0.9892386076853484,333.40247987553107,233.4215087890625,0.9887148231036618,341.4880702233668,238.469970703125,0.9881434217418218,351.4080909357361,245.6072998046875,0.9861911337555356,402.2132724892565,279.5040283203125,75.52949694194456,71.28287981622869,0.1640118273442681,20.99351390006632,2098,20976,0.02000362315386,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,0.05,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_spikelora_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,71.31531683015095,68.16892647969145
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,fullft,0.2,1,0.1355531151626377,8,20.28054318500108,430.693359375,1793.203125,75269,75269,0.2930173873901367,0.2871284484863281,1.0,88.79136631658217,54.86049372114163,114.26874377104735,88.23916217225454,53.611975979426944,113.56387106453585,86.46531796769067,51.75571669395138,113.79869243929345,86.13957217641423,52.93766004072758,114.2731068857737,90.5285214605679,56.56797576187895,116.10426628264526,92.4212833558372,59.429140129723294,113.60378218298854,0.05,5226,0.9881338983857912,425.6076796667956,0.988905290224275,429.13578613616926,300.9089660644531,0.988905290224275,425.5481986009554,299.3699645996094,0.9898100090471882,426.13971088657,300.3936462402344,0.9895719251464216,424.6055814217093,301.4972839355469,0.9834769772867958,422.6091212885737,286.5933837890625,75.52949694194456,,0.1205703933614188,15.433010350261611,4196,20976,0.0400072463077201,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,,,,[],False,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_fullft_seed0_frac0.2_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lora,0.2,1,0.1503966511710138,8,16.761574948999623,433.15625,1793.203125,76429,1160,0.2989263534545898,0.004425048828125,0.0151774849860654,87.7517464257327,51.43416209190234,113.65002622904532,89.19263211418321,50.77794797545041,113.786381860887,87.22410273366039,48.6910350743796,113.08345128538694,85.81067378398868,49.30801773162111,112.93209289861136,89.31357324945627,53.49532202844205,114.37333176567958,87.16701888233978,54.89848764961853,114.07487333466166,0.05,5226,0.9886386362554164,467.3775753646276,0.9889529070044284,476.48278850371776,337.0302734375,0.988905290224275,476.7015245276958,338.50897216796875,0.9893338412456548,472.55568534459087,333.98370361328125,0.9899052426074948,472.0463046430889,334.14654541015625,0.9860959001952287,439.10157380404456,300.7044677734375,75.52949694194456,,0.1117381195321343,14.302479300113191,4196,20976,0.0400072463077201,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_lora_seed0_frac0.2_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,spikelora,0.2,1,0.1239427542902024,8,21.410586463000072,445.64453125,1793.203125,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,69.46214858626936,40.63367163870348,111.58829423045536,64.23845057943282,37.22091554120679,111.02672965602989,63.93159783735478,36.54565529446166,110.5996912594752,66.2455192016374,38.37442539044888,110.5365557120195,70.72952543094132,42.00805810939516,111.24470614746262,80.746443353504,49.01930385800488,114.53378837728953,0.05,5226,0.9885719727632016,383.1731557515205,0.9883815056425884,366.6964900602267,253.67950439453125,0.9881434217418218,365.8159681608731,252.7249755859375,0.9894290748059617,382.9851842527588,264.6591796875,0.989476691586115,388.709246683618,268.5457763671875,0.987429170039522,411.6588896001261,285.80162048339844,75.52949694194456,65.98077282279637,0.1505473230459131,19.27005734987688,4196,20976,0.0400072463077201,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,0.05,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_spikelora_seed0_frac0.2_SpikeLoRA-TS-R2-corrected-v1.npz,65.78098835571322,85.16008166277797
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,fullft,0.5,2,0.1355595822608931,9,48.51761296299992,430.693359375,1793.375,75269,75269,0.2930173873901367,0.2871284484863281,1.0,113.04498124919436,72.06305400731591,115.72185500244645,109.23558289467356,67.91909343813393,115.12732335039748,106.49946185150452,66.62995347585696,114.42572455425837,108.86455487689496,69.28784009850733,115.1082947411278,113.00282791225874,73.57376558917697,115.51077978925116,126.49174106811216,82.9046174349044,118.43715257719744,0.05,5226,0.9810199514308844,474.8021736015326,0.9830960430455692,466.18358887468577,322.63214111328125,0.9834293605066424,464.40319032325306,319.289306640625,0.9840959954287892,468.8544558151853,323.221435546875,0.983191276605876,465.12029647445695,320.0513916015625,0.9712870815675444,509.4493365200819,358.50518798828125,75.52949694194456,,0.1044471468752306,13.369234800029515,10488,20976,0.0999990465384578,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,,,,[],False,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_fullft_seed0_frac0.5_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lora,0.5,2,0.1425101726654157,9,37.7160133640009,433.15625,1793.375,76429,1160,0.2989263534545898,0.004425048828125,0.0151774849860654,105.81444572580791,67.79196399328885,115.26134846951722,99.4807228465976,62.389408840871326,114.11773268133938,95.2839175417848,58.83312418138315,113.959190510659,104.0624216031429,67.25388243289103,115.4090136367294,118.15384621760192,76.50453789382541,116.78991280332129,110.53834852749316,73.97886661747332,116.03089271553702,0.05,5226,0.9803342697966764,437.9104101488825,0.9792867006333033,425.7929836066301,294.685546875,0.9818103899814294,418.16156691999913,290.4444580078125,0.9808580543783628,426.1529880394896,294.37939453125,0.980000952335603,459.1896799044929,320.8239440917969,0.9797152516546832,460.2548322738009,314.0242919921875,75.52949694194456,,0.1150797882814913,14.730212900030892,10488,20976,0.0999990465384578,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_lora_seed0_frac0.5_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,spikelora,0.5,5,0.147833387142527,12,62.27884065800026,445.64453125,1793.37890625,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,136.0608379201218,85.61304456809721,118.13149462008948,124.7535256582355,75.33563612747247,115.07575533021073,130.9872449463687,80.04853922303225,116.75574000890232,135.54026702999,86.12662279448631,118.59634661618834,143.0031705520138,93.16744593575844,119.94807747952858,144.98478127148016,93.38697875973656,120.28155366561744,0.05,5226,0.969563354125994,518.7430911147204,0.9694300271415648,499.8084242234803,340.1925048828125,0.9693824103614114,506.4077684972736,347.5409240722656,0.9705728298652444,508.2172703228703,350.1602783203125,0.9722394171706108,516.7368791641142,358.3957824707031,0.9661920860911384,562.5451133658639,399.483642578125,75.52949694194456,48.55842269047571,0.15622712617116,19.99707214990849,10488,20976,0.0999990465384578,372.1146333640008,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,8.0,16.0,0.05,"[""in_proj"",""head""]",True,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_spikelora_seed0_frac0.5_SpikeLoRA-TS-R2-corrected-v1.npz,48.13778553947828,88.93958918622923
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,fullft,0.1,3,0.1420172648443785,10,16.572281138000108,430.693359375,1793.37890625,75269,75269,0.2930173873901367,0.2871284484863281,1.0,80.28038012918886,46.342401144335504,112.98693681415114,72.87543026567185,42.17513912570209,111.50400096697292,73.93142764543968,43.4621211445608,111.8469041509897,74.85008889969883,43.423122468309614,111.94393270485692,80.52677154315694,47.88642279226821,112.81309622552126,96.751827346459,54.7652001908368,116.82675002241476,0.05,5226,0.9880862816056378,412.2557827390561,0.9893814580258083,395.86224270125786,275.79150390625,0.9888100566639684,396.489098287277,276.2478942871094,0.9892386076853484,402.4084413629345,280.9971923828125,0.9892386076853484,419.49094214674847,293.8964233398437,0.9837626779677158,447.0281891970627,320.35205078125,75.52949694194456,,0.1041281878904953,13.328408049983407,2098,20976,0.02000362315386,480.24135576700064,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed1_1c553ec25a0e.pt,,,,[],False,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E2/SR_fullft_seed1_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,,
