task,model,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
EC,gru,high,2004.8542001661438,388.38490231071796,1040.0526176735775,2969.65578265871,3,1304.9826677618212,207.56468142358884,789.3634150164307,1820.6019205072116,3,4.308501332413022,0.6749516200630384,2.6318285594282256,5.985174105397819,3,0.8173073245362401,0.04044837233857093,0.7168279974323224,0.9177866516401578,3,3927.36279296875,179.0794365287905,3482.504811294095,4372.220774643405,3
EC,gru,low,1445.9715203182707,130.55252390701492,1121.6610723206873,1770.281968315854,3,1010.2473363116575,105.2623596362674,748.7611391146203,1271.7335335086946,3,3.8348543791699865,0.4166449767787372,2.799850879955411,4.869857878384562,3,0.8636076856897046,0.036612967265450214,0.7726560329676464,0.9545593384117628,3,3927.36279296875,179.07939585734132,3482.5049123275753,4372.220673609924,3
EC,gru,medium,2036.557670385082,140.6244179695526,1687.2272505183046,2385.8880902518595,3,1472.9157793306688,89.99527722000988,1249.3551173117874,1696.4764413495502,3,4.955084890058257,0.28029268859222767,4.258799252007041,5.651370528109473,3,0.7112321957747826,0.02105518620669141,0.6589282136914633,0.7635361778581019,3,3927.3629557291665,179.07929754382303,3482.5053193123103,4372.220592146023,3
EC,itransformer,high,1575.379490810792,86.91346816459516,1359.474466886785,1791.2845147347991,3,923.977958411025,98.09528177167495,680.2957696202524,1167.6601472017978,3,3.0350835510417706,0.3599366767037194,2.1409512786110554,3.929215823472486,3,0.9472365653088545,0.008064097785897072,0.9272042358879135,0.9672688947297955,3,5132.04833984375,103.0414367628997,4876.079220911266,5388.017458776234,3
EC,itransformer,low,928.811331907306,9.09249293934215,906.2243273031424,951.3983365114696,3,622.3194191520887,21.049781604118756,570.0288628458369,674.6099754583405,3,2.3465066859649686,0.06964427291310132,2.1735007212162456,2.5195126507136916,3,0.9898671255138133,0.0022194087541812404,0.9843538085298311,0.9953804424977954,3,5132.048177083333,103.04161119915901,4876.078624827159,5388.017729339507,3
EC,itransformer,medium,1416.7594574310322,24.685874103680167,1355.4363466233194,1478.082568238745,3,894.1741728204761,39.256520600360005,796.6555695662266,991.6927760747255,3,3.077784988937255,0.12790031656910567,2.7600629892070714,3.3955069886674387,3,0.9421279036420992,0.009046426340962688,0.9196553348122207,0.9646004724719777,3,5132.048177083333,103.04161119915901,4876.078624827159,5388.017729339507,3
EC,lstm,high,2670.8143971341115,614.6491217847455,1143.9413342333255,4197.687460034897,3,1736.3050133569996,373.5764014335924,808.2897863473329,2664.3202403666664,3,5.582967098424763,1.086009161312413,2.885170785535682,8.280763411313844,3,0.7808567603748328,0.07418300609880393,0.5965759573560728,0.9651375633935927,3,4756.20947265625,350.0299460035402,3886.6868835576997,5625.7320617548,3
EC,lstm,low,1627.96575136543,51.705542879613596,1499.5220623932498,1756.40944033761,3,1148.9244785318683,87.01290812218903,932.7724320591506,1365.076525004586,3,4.2982019763356565,0.426636999309172,3.2383769171368764,5.358027035534437,3,0.867259344230953,0.0433042818730771,0.759685544551109,0.9748331439107969,3,4756.20947265625,350.0299460035402,3886.6868835576997,5625.7320617548,3
EC,lstm,medium,2467.312547522975,247.4974127659732,1852.4948909180023,3082.1302041279478,3,1824.4529559942882,182.79064217790028,1370.3758284107328,2278.530083577844,3,5.989019703533214,0.5463863508072903,4.631720764323998,7.346318642742429,3,0.6940254277793709,0.04340050119450964,0.5862126060545604,0.8018382495041815,3,4756.20947265625,350.0299460035402,3886.6868835576997,5625.7320617548,3
EC,mlp,high,2396.2031935527602,45.347843651999796,2283.552904991666,2508.8534821138546,3,1734.793755976286,72.95439379184896,1553.5649951223158,1916.0225168302563,3,5.538155033641297,0.27582165797182695,4.852976051364471,6.223334015918122,3,0.8762669726525149,0.020347564616971035,0.8257208200458468,0.9268131252591829,3,6429.782877604167,205.10084973512937,5920.284122071408,6939.281633136926,3
