protocol_id,protocol_date,config_hash,task,seed,target_col,time_col,frequency_minutes,lookback_steps,lookback_minutes,horizons_steps,horizons_minutes,n_features,feature_names,target_feature_index,data_file_sha256,device,torch_version,fraction,ablation_label,variant_config_hash,best_epoch,best_val_loss,epochs_ran,train_time_sec,peak_gpu_memory_mb,peak_process_rss_mb,total_params,trainable_params,total_model_size_mb,trainable_parameter_size_mb,trainable_ratio,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,conformal_alpha,conformal_calibration_n,picp95,mpiw95,picp95_h1,mpiw95_h1,conformal_q95_h1,picp95_h2,mpiw95_h2,conformal_q95_h2,picp95_h4,mpiw95_h4,conformal_q95_h4,picp95_h8,mpiw95_h8,conformal_q95_h8,picp95_h24,mpiw95_h24,conformal_q95_h24,encoder_sparsity_pct,spikelora_sparsity_pct,ablation_family,mode,rank,gate_threshold,adapter_targets,encoder_mode,selected_adaptation_windows,base_checkpoint,prediction_file,spikelora_adapter_0_sparsity_pct,spikelora_adapter_1_sparsity_pct
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,LoRA-r8,1c553ec25a0e,1,0.1298250033054322,8,11.4343578659973,433.15625,1795.90234375,76429,1160,0.2989263534545898,0.004425048828125,0.0151774849860654,73.41920989760243,44.28980114207848,112.34404081519604,70.4898650888767,42.3493178119535,112.60051835062346,68.3954247926232,40.28136234257109,111.22289235622284,74.53497507076762,46.28621411835555,112.03350059916744,73.78795039922603,43.75693562750441,111.85132648830478,79.40417220909117,48.775175810007816,114.01196628166156,0.05,5226,0.987143469358602,373.6835866160566,0.9868101518975289,351.7145944565093,244.186767578125,0.9871910861387552,357.9939059254828,247.61920166015625,0.9887148231036618,381.1216183610601,262.9443359375,0.987572020379982,382.2540098972919,265.9962463378906,0.9854292652730824,395.33380443993866,270.9210205078125,75.52949694194456,,mechanism,lora,8,,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_LoRA-r8_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-r8-v0.05,1c553ec25a0e,1,0.1257059722853674,8,15.21345816500252,445.64453125,1795.90234375,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,67.93603666535795,38.89851337369468,111.60752648478464,63.372402152728114,36.24899771349651,112.38166093500544,63.483672806754775,35.82168166334643,111.49096481116658,65.4450661546645,37.97274342330715,110.80316116550584,71.20858812942551,41.223612639888245,111.32530533490808,75.34299976751345,43.22553142843505,112.03654017733726,0.05,5226,0.9878101042807486,359.65864091848374,0.9878101042807486,334.7255050697688,234.709228515625,0.9870958525784488,332.65365039198224,233.0526733398437,0.9884767392028952,352.58458767733765,245.0625,0.9880958049616684,370.8227587993653,258.005859375,0.987572020379982,407.5067026539648,282.5335693359375,75.52949694194456,64.96029874252429,mechanism,spikelora,8,0.05,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-r8-v0.05_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,64.79598596743409,80.73432515118327
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-r4,1c553ec25a0e,2,0.1245043641458833,9,16.393700963999436,437.880859375,1795.90234375,75849,580,0.2967901229858398,0.0022125244140625,0.0076467718757004,69.4550518688937,41.540828942387485,111.22404079919892,66.21147413766529,38.987575094153,111.30819057882226,66.08824075561758,38.79715785069282,110.7594531342108,68.23746510663334,41.01539925805535,110.63678177946666,70.67973295831906,42.50207588737462,111.0589887033626,75.60707626710663,46.40193662166164,112.35678980013223,0.05,5226,0.9877243940764724,369.4685269625106,0.9884767392028952,350.700407706183,240.03659057617188,0.9886672063235084,362.6573559305258,248.12579345703125,0.9870482357982954,364.7055915144817,247.5389404296875,0.9869530022379888,372.4574013343056,254.3773498535156,0.9874767868196752,396.8218783270569,271.060302734375,75.52949694194456,69.29536553733082,rank,spikelora,4,0.05,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-r4_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,69.18462092082916,79.92684872148945
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-r16,1c553ec25a0e,1,0.126473012702861,8,14.757655094999793,461.17333984375,1795.90234375,77589,2320,0.3034429550170898,0.00885009765625,0.0299011457809741,68.18925184499486,39.383375708363545,111.34213807384076,64.54250929309889,37.88877798828543,111.23358969471072,64.41963325244912,37.84710870171256,110.69943285317882,65.07136176794589,38.044854156085805,110.883459059083,68.38925480301938,39.6367632457798,111.21175786651398,77.60073058176494,43.49937444995411,112.68245089571742,0.05,5226,0.9888005333079376,369.0309074290327,0.988619589543355,344.9450378465196,239.77496337890625,0.9889529070044284,354.285785028216,245.6466064453125,0.9890005237845816,353.7888433735153,245.82672119140625,0.988905290224275,369.2158386715821,256.3551025390625,0.9885243559830484,422.9190322253302,296.1846923828125,75.52949694194456,62.86064571912874,rank,spikelora,16,0.05,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-r16_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,62.66416202713065,81.7230801509452
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-v0.025,1c553ec25a0e,1,0.123826716820878,8,14.969983970000612,445.64453125,1795.64453125,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,68.11151699868527,39.262057111122616,111.43617042539248,63.69477642747604,36.8142604632614,111.8105983651774,63.66126693387584,36.30911045120782,111.02537510318848,66.04465309633915,39.15115487228705,111.03119189259478,71.64651268893859,41.4093920437644,111.26486159102586,74.77294500309985,42.6263677250924,112.04882517497592,0.05,5226,0.9892005142612256,370.0671711242481,0.9895719251464216,348.0568046302808,243.84036254882807,0.9897623922670348,354.431968236309,247.932373046875,0.9898100090471882,365.9492520449088,253.3145446777344,0.9893338412456548,381.0111134880912,265.8778991699219,0.9875244035998286,400.8867172216507,279.25347900390625,75.52949694194456,61.22995278329898,threshold,spikelora,8,0.025,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-v0.025_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,61.05183219821873,78.32952895100233
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-v0.10,1c553ec25a0e,1,0.1255586170518348,8,14.456673308999598,445.64453125,1795.64453125,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,69.80232342189275,40.51201517586368,111.65168837592748,66.33855025589035,38.788351726409374,112.02942501042928,66.18634991661207,38.17978459649708,111.42170525113607,67.77276502780055,40.07700873867602,111.0097540897566,72.75189139865351,42.39765796122804,111.35501258702676,75.46124984745576,43.11727285650785,112.4425449412886,0.05,5226,0.9885529260511404,378.6670140622576,0.9888100566639684,360.7247017643848,251.668212890625,0.9885243559830484,361.844813440818,252.5089111328125,0.9892862244655016,377.4387452475349,261.9693603515625,0.9888576734441216,388.61344437140303,270.494873046875,0.987286319699062,404.7133654871473,281.7110595703125,75.52949694194456,72.84334567156105,threshold,spikelora,8,0.1,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-v0.10_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,72.70486964658429,86.13704406933003
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-head-only,1c553ec25a0e,1,0.1179822781477857,8,9.942322186001547,65.19970703125,1795.6484375,75821,552,0.2959413528442383,0.002105712890625,0.0072803049287136,65.67770617932563,37.717648703565736,111.29885447317346,62.33279548939619,35.89249666075123,112.09728718280869,62.67994109417166,36.35381686601757,111.31657471800274,64.08101607984769,37.45979682904562,110.7860595324892,65.1267167465785,36.66292715156642,110.62626541892,73.52405851000515,42.21920601044784,111.66808551364676,0.05,5226,0.9884386457787724,354.41925938169726,0.9894290748059617,340.64904413186485,237.46533203125,0.9899052426074948,345.30520692876814,240.11822509765625,0.9886672063235084,342.23643383176704,236.68569946289065,0.9878101042807486,353.8459166281621,245.82403564453125,0.9863816008761488,390.05969538792425,267.972900390625,75.52949694194456,76.50573186991096,placement,spikelora,8,0.05,"[""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed0_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-head-only_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,76.50573186991096,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-continuous-input,510f9b4a47ae,2,0.1005660813149254,9,16.303871017000347,445.08203125,1795.65234375,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,68.37549453696785,39.26672657914437,112.95732524733566,46.41970638813096,27.92979688214368,109.17045284563387,50.160532125906045,29.00358510375006,110.1108986781216,59.0540323833004,34.72294524315284,111.90326603107847,74.60131332187565,44.10745054162983,114.94390834659944,98.24682412924967,60.56985512504543,118.65810033524482,0.05,5226,0.9814008856721108,302.718084553245,0.9820960906623494,219.40166653361152,148.15322875976562,0.9841912289890956,255.04150376674767,174.533203125,0.9847150135707824,295.8671624455348,203.47869873046875,0.9802866530165232,339.87889214137823,237.6002197265625,0.9757154421218036,403.4011978789526,286.7467041015625,0.0,54.75365572307062,encoding,spikelora,8,0.05,"[""in_proj"",""head""]",continuous,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E4-continuous/E4-continuous_base_SR_seed0_510f9b4a47ae.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-continuous-input_seed0_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,54.467873801644366,82.18872017999144
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,LoRA-r8,1c553ec25a0e,1,0.1359253795870957,8,11.361677438002516,433.15625,1795.65234375,76429,1160,0.2989263534545898,0.004425048828125,0.0151774849860654,72.0240622089139,40.73748728872612,111.9720476856475,66.4298857045735,37.824789064043244,110.9412622894538,66.34316034142596,37.53553729722355,110.92854450076024,68.16373686333513,38.40222551418392,111.52660431093383,72.34192911075284,42.022409884749486,112.38187133586048,85.10777470899743,47.90247468343037,114.0819559912291,0.05,5226,0.9881053283176991,389.2822604255173,0.9880958049616684,364.40732205835366,252.9390563964844,0.9886672063235084,370.36503082808696,257.329345703125,0.9881910385219752,372.8503293288582,259.647216796875,0.9877148707204418,394.5804446145788,275.3886413574219,0.987857721060902,444.2081752977089,312.2520904541016,75.52949694194456,,mechanism,lora,8,,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed1_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_LoRA-r8_seed1_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,,
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,0.1,SpikeLoRA-r8-v0.05,1c553ec25a0e,1,0.1314959756736321,8,14.238623389999702,445.64453125,1795.65234375,76429,1160,0.2989873886108398,0.004425048828125,0.0151774849860654,70.0717174780861,38.80195903168662,112.75066366400266,63.17389952799319,34.32278360534206,111.74660278409984,64.01838101053981,35.17364245835648,111.39983033828788,65.59243020163721,35.821544548221034,111.23764672340432,69.82135800420026,39.536261945479,112.06233685777636,85.3436835949364,49.15556260103453,117.3069016164448,0.05,5226,0.987629160516166,384.7208710290064,0.9885719727632016,367.0736331571869,257.9042510986328,0.9882386553021284,369.632413792659,260.13824462890625,0.9876196371601352,377.9214721973224,265.9298095703125,0.987572020379982,391.9570051805104,275.93975830078125,0.9861435169753822,417.0198308173534,298.9441223144531,75.52949694194456,45.76282603381184,mechanism,spikelora,8,0.05,"[""in_proj"",""head""]",delta,2098,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/checkpoints/E2/E2_base_SR_seed1_1c553ec25a0e.pt,/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E4/SR_SpikeLoRA-r8-v0.05_seed1_frac0.1_SpikeLoRA-TS-R2-corrected-v1.npz,45.40440488076957,80.1712567258702
