task,model,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
EC,gru,1851.6127389259473,220.62518447104182,1303.549398026351,2399.6760798255436,3,1262.7112202736616,130.33835525894204,938.9327966914241,1586.4896438558992,3,4.366152378259147,0.4505762061505334,3.2468590325570865,5.485445723961208,3,0.7973804971319312,0.030717235905693634,0.7210746530188119,0.8736863412450504,3,3927.362760416667,179.07941347220577,3482.504836017743,4372.22068481559,3,47.53729872333315,8.364674983439134,26.758294150694933,68.31630329597137,3,1.0,0.0,1.0,1.0,3
EC,itransformer,1335.7892915160548,44.80823382106866,1224.479468085591,1447.0991149465187,3,813.479953941603,48.671568136012795,692.5730760464062,934.3868318367997,3,2.8197711595904082,0.16755267649153655,2.403547237218237,3.2359950819625793,3,0.9597450605481198,0.005206818450351333,0.9468106064775249,0.9726795146187147,3,5132.047916666667,103.04124150142303,4876.079282790582,5388.016550542753,3,69.24549103533293,13.154479306275494,36.56795291257961,101.92302915808625,3,1.0,0.0,1.0,1.0,3
EC,lstm,2306.119353747456,324.4244945253689,1500.2042322914358,3112.034475203476,3,1569.878240033959,193.81166654078004,1088.423370208794,2051.333109859124,3,5.290034923786948,0.5833087727334658,3.8410156038628993,6.739054243710996,3,0.7807138304652645,0.038793297007485086,0.6843459384070338,0.8770817225234953,3,4756.209635416667,350.02992719283776,3886.6870930464916,5625.732177786842,3,48.74605299399991,6.674689419643895,32.16520529264706,65.32690069535276,3,1.0,0.0,1.0,1.0,3
EC,mlp,2050.4161276578598,100.39709935215429,1801.0159070099194,2299.8163483058,3,1485.39415276201,117.12841873953138,1194.4310306570617,1776.3572748669583,3,5.124634683799074,0.46569061458841254,3.967795066106146,6.281474301492001,3,0.8788209050350542,0.04557373443095877,0.7656094726712179,0.9920323373988904,3,6429.782812500001,205.1012192934007,5920.283138933603,6939.282486066398,3,32.14361401733307,12.65405111072415,0.7092084471566054,63.57801958750954,3,1.0,0.0,1.0,1.0,3
EC,patchtst,1086.7599208697548,19.195510814934387,1039.0756285586558,1134.4442131808537,3,669.5322579071063,26.28133617830485,604.2457995922,734.8187162220127,3,2.336256761333089,0.09829886857346645,2.092068834890378,2.5804446877758003,3,0.9623900573613766,0.0024073561354549917,0.9564098531997535,0.9683702615229998,3,4397.232812499999,181.0503983563557,3947.47869022113,4846.986934778869,3,311.7903250189999,95.56585327916383,74.39158493557201,549.1890651024278,3,1.0,0.0,1.0,1.0,3
EC,snn_tcn,5601.536108069105,224.70447230365747,5043.339254427548,6159.732961710661,3,4428.954607246355,179.78420911824267,3982.345873404056,4875.563341088655,3,14.616620186227365,0.5127980522812978,13.342759206059062,15.890481166395668,3,0.865583173996176,0.018811917849201654,0.8188517794372041,0.9123145685551479,3,16352.026302083335,244.39398017666204,15744.91799940925,16959.13460475742,3,295.4474334956661,25.754717767134004,231.4691678356351,359.4256991556971,3,1.0,0.0,1.0,1.0,3
EC,tcn,1888.080651469977,113.04981427028025,1607.2493445382834,2168.9119584016707,3,1240.209846177402,63.143430361619906,1083.352869568765,1397.0668227860388,3,4.326446774857842,0.17967557916872767,3.8801078927697543,4.772785656945929,3,0.9311663479923519,0.010363694403382223,0.9054215038921732,0.9569111920925305,3,6690.166406249999,741.5496610998615,4848.054927998985,8532.277884501014,3,66.30508882533286,13.99235892572503,31.54614234202372,101.06403530864199,3,1.0,0.0,1.0,1.0,3
SR,gru,51.164590287327435,3.2039788155437456,43.20546568408469,59.12371489057018,3,24.538622161495653,2.520214453351011,18.278062396305746,30.79918192668556,3,108.4433262032527,0.3752805296396426,107.51107768710078,109.37557471940461,3,0.8853229211307397,0.0006259629789465969,0.8837679428885982,0.8868778993728813,3,271.69863214812034,4.897092141427486,259.5335808818349,283.8636834144058,3,72.05803874333333,3.7178133305891716,62.82247844368312,81.29359904298353,3,1.0,0.0,1.0,1.0,3
SR,itransformer,51.479640591776274,0.8155783867310877,49.45363156443419,53.50564961911836,3,25.468943868409156,1.4699227200869482,21.817453406127793,29.120434330690518,3,108.77007263157758,0.2596569785344582,108.12504893908897,109.41509632406618,3,0.8856340174277415,0.0007539707790253916,0.88376105018203,0.887506984673453,3,277.31177698486584,2.024658622073041,272.28224614841605,282.34130782131564,3,92.77825304700006,8.65837954839299,71.26964588845578,114.28686020554434,3,1.0,0.0,1.0,1.0,3
SR,lstm,51.15951587462246,2.17647946079742,45.752841167272564,56.56619058197235,3,24.145860997072514,3.256485939636637,16.056301466736684,32.235420527408344,3,108.89575120455333,0.7894014110405556,106.93476938970286,110.8567330194038,3,0.8867545989873498,0.0003439412911964723,0.885900201455271,0.8876089965194285,3,283.6385502067496,2.49972059255017,277.4289000140338,289.8482003994654,3,96.08718983700003,9.106354069675326,73.4657522762488,118.70862739775126,3,1.0,0.0,1.0,1.0,3
