task,mode,fraction,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
EC,fullft,0.1,5998.201733705199,189.34805844605157,5527.835081078486,6468.568386331913,3,4968.522697802143,113.67425472613057,4686.140194785348,5250.905200818937,3,16.44208987300195,0.3335910516370111,15.613403761338269,17.270775984665633,3,0.8677501593371574,0.016785174839088767,0.8260534735215709,0.9094468451527439,3,17101.741666666665,1028.6447738682573,14546.446391937303,19657.03694139603,3,12.74875040933451,5.999641297526131,-2.155184794640139,27.65268561330916,3,1.0,0.0,1.0,1.0,3
EC,fullft,0.2,5706.672243457459,156.5681131456302,5317.735489139626,6095.608997775293,3,4645.934395265695,154.16371838615734,4262.970488643729,5028.89830188766,3,15.560860761861521,0.37320873196499704,14.63375887644424,16.487962647278803,3,0.885640535372849,0.024704432026570168,0.8242713241290339,0.9470097466166641,3,17458.9484375,1242.6893461806292,14371.936968700593,20545.959906299406,3,11.600184836999688,2.3300503261728283,5.812018951549337,17.38835072245004,3,1.0,0.0,1.0,1.0,3
EC,fullft,0.5,7186.87719560393,368.39584966966925,6271.73117259854,8102.02321860932,3,6018.465332566523,328.1420517547888,5203.3152870014255,6833.615378131621,3,19.453814740022626,0.8815213126611071,17.26399440355665,21.6436350764886,3,0.8120331421287444,0.037789236570923465,0.7181594744658221,0.9059068097916668,3,18097.295833333334,931.5234356333923,15783.263337525868,20411.328329140797,3,24.806827685668395,4.000512597610369,14.869003475735358,34.744651895601436,3,1.0,0.0,1.0,1.0,3
EC,lora,0.1,5996.202663604654,243.83343106834215,5390.486842109817,6601.918485099491,3,4862.075482057142,180.8385271002926,4412.847677155488,5311.303286958796,3,16.11569518430845,0.5383001932147817,14.778483374117693,17.45290699449921,3,0.8798342893562779,0.01104959612283554,0.852385570928272,0.9072830077842838,3,17914.095052083332,782.20850194129,15970.981413983322,19857.208690183343,3,7.046553548001005,1.1141063816199628,4.278959870551448,9.814147225450562,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
EC,lora,0.2,5827.66827914294,422.29773364008287,4778.622553433915,6876.714004851966,3,4740.143679648911,361.2465899265931,3842.7574023821744,5637.529956915647,3,15.834792559239132,1.17548923830868,12.914715412636056,18.754869705842207,3,0.8836201402166987,0.020644857466559297,0.8323354712309439,0.9349048092024534,3,17584.894791666666,642.7828614454309,15988.133645103071,19181.65593823026,3,16.57719477066712,7.4392043768248906,-1.9028133669926923,35.05720290832693,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
EC,lora,0.5,7112.7095482538325,249.02472883675426,6494.097828199718,7731.321268307947,3,5890.092493047672,236.2913199425143,5303.112314226484,6477.07267186886,3,19.10118275216872,0.7056231484874811,17.34831767874869,20.854047825588754,3,0.7967686424474189,0.01828472798506838,0.7513468601111768,0.8421904247836609,3,17363.329349431366,78.16790335411977,17169.149512863347,17557.509185999384,3,29.747613157333642,11.445196869706962,1.3161679952400824,58.1790583194272,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
EC,spikelora,0.1,6008.9678695961675,559.2825601433805,4619.632970436941,7398.302768755394,3,4900.0196613960925,471.07544682458905,3729.803378873995,6070.23594391819,3,16.296082856442847,1.4074932451014588,12.799675807295792,19.792489905589903,3,0.8802995538559593,0.011506709529355006,0.8517153027762858,0.9088838049356327,3,17876.572395833333,1100.8490741931043,15141.911695718694,20611.233095947973,3,9.816616370999933,2.372985909931284,3.9217925827605082,15.711440159239357,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
EC,spikelora,0.2,6072.567594168201,122.60554936145932,5767.998525333308,6377.136663003094,3,4855.424845306027,118.96745944995803,4559.893292818921,5150.956397793134,3,16.13591881366443,0.37185324123069674,15.212184153898109,17.059653473430746,3,0.8781070745697898,0.010777241183903255,0.8513349233165587,0.9048792258230208,3,18234.614322916666,143.29381498701702,17878.652753251255,18590.575892582077,3,17.50831714866581,3.477404368662909,8.869965817571979,26.14666847975964,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
EC,spikelora,0.5,6826.776255434964,361.3234002118178,5929.199170842053,7724.353340027875,3,5608.575119390834,328.75764159323234,4791.895863893107,6425.25437488856,3,18.241497534177828,1.0566526303183745,15.616626887016302,20.866368181339354,3,0.8179349904397705,0.029507842934064357,0.7446334450157641,0.8912365358637768,3,17368.705617854725,1329.6712335738282,14065.619162345329,20671.79207336412,3,29.032839732998884,6.721950599520429,12.334588752414376,45.73109071358339,3,0.0147234747400386,0.0,0.0147234747400386,0.0147234747400386,3
SR,fullft,0.1,79.39176592723726,1.2461603210904273,76.296132078768,82.48739977570652,3,46.71293188972765,1.1623271631684156,43.82555115034499,49.600312629110306,3,112.86750085256813,0.5285056114258018,111.55462013236989,114.18038157276636,3,0.9884672158468645,0.0015590405736627187,0.9845943443637281,0.9923400873300009,3,407.7935087293681,7.198251410646753,389.9120609417421,425.67495651699414,3,16.465291313999234,3.339204570812923,8.17024731249657,24.760335315501898,3,1.0,0.0,1.0,1.0,3
