task,seed,fraction,rmse_spikelora,rmse_lora,rmse_difference_b_minus_a,relative_improvement_pct
SR,0,0.1,67.44397705058826,71.06152646117816,3.617549410589902,5.090728542914451
SR,0,0.2,69.46214858626936,87.7517464257327,18.28959783946334,20.842431728629414
SR,0,0.5,136.0608379201218,105.81444572580791,-30.246392194313884,-28.584369541272242
SR,1,0.1,72.89505439125041,78.38612908631129,5.491074695060874,7.005161192504645
SR,1,0.2,80.4457351568126,76.34755094456541,-4.09818421224719,-5.367800488090061
SR,1,0.5,115.02908471536652,122.3765039842218,7.347419268855276,6.003946043271992
SR,2,0.1,67.68360305181635,67.82154596356366,0.13794291174731654,0.20339098701970723
SR,2,0.2,66.2692091241431,75.08308034119642,8.813871217053318,11.738824748533048
SR,2,0.5,96.637596652788,152.82888212711308,56.19128547432507,36.76745173571893
WS,0,0.1,0.7088832921213911,0.8216637573825974,0.11278046526120633,13.725865872491138
WS,0,0.2,0.8024232162662635,0.5735067135281546,-0.22891650273810882,-39.91522633272031
WS,0,0.5,0.6778725294168815,0.6832387843965837,0.005366254979702223,0.7854142800809443
WS,1,0.1,0.5861849187391406,0.5871116556037437,0.0009267368646030949,0.15784678361564888
WS,1,0.2,0.5916926372527906,0.6441037849283877,0.05241114767559707,8.137065625444851
WS,1,0.5,0.59679381802828,0.625587729840095,0.02879391181181501,4.602697661473468
WS,2,0.1,0.5353029568640297,0.600240694429102,0.06493773756507226,10.818616293058158
WS,2,0.2,0.5946376034769918,0.8460039733837575,0.25136636990676575,29.71219731999331
WS,2,0.5,0.7076638975266123,0.707823912545506,0.00016001501889373326,0.022606613884840445
WP,0,0.1,1001.3226118903978,1000.14196315123,-1.1806487391677365,-0.11804811543430983
WP,0,0.2,1020.600381028508,1014.196203924804,-6.404177103704001,-0.6314534681672728
WP,0,0.5,1020.7568994470842,1030.504477965597,9.74757851851291,0.9459035576202832
WP,1,0.1,987.38517182276,952.045174545676,-35.33999727708397,-3.7120084447619317
WP,1,0.2,962.0787170801392,994.6785254736116,32.59980839347236,3.277421554662609
WP,1,0.5,1004.926458277094,983.9235854720546,-21.002872805039374,-2.1346040602292176
WP,2,0.1,923.9777483840488,948.4874619486231,24.509713564574326,2.5840840862798826
WP,2,0.2,943.068690304295,986.049644126153,42.98095382185795,4.358903639172052
WP,2,0.5,1020.542515215876,954.3869435196548,-66.15557169622127,-6.931734779632267
EC,0,0.1,5479.659677696677,5765.0773063167735,285.41762862009637,4.950803145473268
EC,0,0.2,6033.190376801822,5392.073411711524,-641.1169650902975,-11.889989548321031
EC,0,0.5,6426.238677563475,6837.1981289730975,410.9594514096225,6.010641254758342
EC,1,0.1,6594.046076017648,6251.015275894798,-343.03080012285045,-5.487601373262483
EC,1,0.2,5974.488648751859,6235.276696308252,260.7880475563934,4.182461505049155
EC,1,0.5,7128.197583020316,7179.167228772383,50.969645752066754,0.7099659908713732
EC,2,0.1,5953.197855074176,5972.5154086023895,19.317553528213466,0.3234408319883081
EC,2,0.2,6210.023756950921,5855.654729409042,-354.3690275418785,-6.051740478517621
EC,2,0.5,6925.892505721097,7321.763287016016,395.87078129491874,5.40676836680766
