source_task,target_task,mode,fraction,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
WS,SR,fullft,0.1,203.7471729646794,11.54009417648141,175.07998982408682,232.414356105272,3,127.13334780638063,6.716763854954406,110.44798141357363,143.8187141991876,3,135.1798713519277,2.5803981013254447,128.76980711717565,141.58993558667973,3,0.9729822389410027,0.0036570059161957057,0.9638977326325994,0.982066745249406,3,706.6169871809179,25.89878239094043,642.2808451559647,770.9531292058712,3,30.15875605333228,6.561285707405629,13.859618790199498,46.45789331646506,3,1.0,0.0,1.0,1.0,3
WS,SR,fullft,0.2,208.44450179273176,10.33333235411844,182.77508120413444,234.11392238132908,3,129.25893067911713,8.536807207423255,108.05232595747779,150.46553540075647,3,135.43149758490117,0.5067883688602507,134.17256548595458,136.69042968384775,3,0.9719156230655684,0.006291061525578206,0.9562877598831317,0.9875434862480051,3,710.5304865188131,24.646522211059196,649.3051312315876,771.7558418060386,3,49.810422029667585,16.957938768525135,7.684566821743381,91.93627723759178,3,1.0,0.0,1.0,1.0,3
WS,SR,fullft,0.5,188.90676116092206,10.95768294446269,161.68636772551622,216.1271545963279,3,116.47763674984738,4.566480165425697,105.13387116109409,127.82140233860066,3,130.833700472206,1.6893884493561684,126.63702691541694,135.03037402899506,3,0.971452153072076,0.0059619276633834685,0.9566419037289211,0.9862624024152309,3,661.2274529041446,53.42972582958906,528.5006560440265,793.9542497642626,3,83.28952231933363,25.25979668234474,20.540708790352795,146.03833584831446,3,1.0,0.0,1.0,1.0,3
WS,SR,lora,0.1,224.04669263470433,22.690168115502928,167.6811903337271,280.41219493568155,3,150.21796127146652,15.420957512824158,111.91017916303518,188.52574337989785,3,134.23651748867107,3.9398498710841596,124.44938784539752,144.0236471319446,3,0.9580845356570323,0.0028248003507317905,0.9510673425777009,0.9651017287363638,3,741.5913661595135,49.36907510753308,618.951784892176,864.2309474268511,3,28.486871970999346,5.778226016730947,14.132962815998985,42.840781125999705,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,SR,lora,0.2,233.836781486321,3.0578872595195152,226.24056842676185,241.43299454588015,3,156.84100228804868,2.7395354978608197,150.03561884521824,163.64638573087913,3,135.4588562529199,0.7606457114614283,133.5693075558208,137.348404950019,3,0.9577321714838977,0.002154307189608368,0.952380575751563,0.9630837672162323,3,758.76792830262,14.20184381753156,723.4885924995388,794.0472641057013,3,41.02016730233299,8.658785880422844,19.51055075906988,62.52978384559611,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,SR,lora,0.5,204.6184538922408,5.114560417884137,191.91318147930673,217.3237263051749,3,135.98025644072075,5.298218195477585,122.81875281641621,149.1417600650253,3,128.06877411572714,1.0649327546069678,125.42333449956259,130.71421373189168,3,0.952741932923829,0.0031752836077234034,0.9448540911684784,0.9606297746791796,3,681.94105740654,22.913224336986538,625.0214527339417,738.8606620791384,3,88.14275321100165,18.195021021465422,42.9438153260495,133.3416910959538,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,SR,spikelora,0.1,233.06263627546355,10.26129840044946,207.5721579476996,258.5531146032275,3,157.72452513836126,3.1672728119555202,149.85658330287853,165.59246697384398,3,135.42173799394416,1.2530457764078675,132.3089997262585,138.53447626162983,3,0.9567703125248004,0.001450095793663118,0.9531680748781559,0.9603725501714448,3,755.602891161982,55.922697724407996,616.6832088036873,894.5225735202768,3,31.248764575000678,2.3284761399014124,25.464509185032423,37.03301996496893,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,SR,spikelora,0.2,236.29283487527854,11.448455456114324,207.85329493580355,264.73237481475354,3,157.92441770895894,4.1288490448111075,147.66778809074646,168.18104732717143,3,135.40796567371714,2.493389303988629,129.21404327368083,141.60188807375346,3,0.958782915099281,0.0024749001850625863,0.9526349222168254,0.9649309079817366,3,760.3550177793386,29.314632755749933,687.5334330455711,833.1766025131061,3,54.393730867000464,17.751268589654305,10.297135132577573,98.49032660142336,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,SR,spikelora,0.5,217.6448353459135,21.875434923107985,163.3032424931542,271.9864281986728,3,140.8273975989721,6.541027382103741,124.57858480569803,157.0762103922462,3,129.79122575836652,3.829123954595611,120.27915453990688,139.30329697682618,3,0.9545958128977986,0.009706847745096309,0.930482666352285,0.9787089594433122,3,729.7936464159443,57.18259916677612,587.744195371613,871.8430974602755,3,96.54488584866583,23.96312952030965,37.01717211644472,156.07259958088693,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WS,WP,fullft,0.1,1247.7883221353673,62.63924814839035,1092.183803576192,1403.3928406945424,3,934.229496970239,51.53413192921077,806.2116164041562,1062.247377536322,3,96.82082985120428,3.028138330292327,89.29851722862165,104.34314247378691,3,0.978281104560968,0.006960504126988222,0.960990253766537,0.9955719553553989,3,4006.0401763109076,75.73276233034949,3817.9095653933928,4194.170787228422,3,7.540330607999446,2.6422567978798317,0.9766008523388265,14.104060363660066,3,1.0,0.0,1.0,1.0,3
WS,WP,fullft,0.2,1097.5400077232423,116.12292387707161,809.0746733250706,1386.0053421214138,3,835.8809873024319,106.23222899569494,571.9855010541995,1099.7764735506644,3,89.86423888872412,5.289231760041644,76.72505880757993,103.0034189698683,3,0.974054538559658,0.0049264827191068195,0.96181647705099,0.9862926000683259,3,3812.975994311449,97.87601630436804,3569.838491136891,4056.113497486007,3,12.723549285665891,2.878041415087808,5.57409807055558,19.8730005007762,3,1.0,0.0,1.0,1.0,3
WS,WP,fullft,0.5,1006.8379254628793,20.62798191908219,955.5951776610183,1058.0806732647402,3,758.9687205759501,34.75755336001303,672.6261715072374,845.3112696446628,3,85.9922460161319,2.9367134093233176,78.69704548751938,93.28744654474443,3,0.9565553142344951,0.020474016194548566,0.9056950384952603,1.00741558997373,3,3498.2921000741403,195.92187166533134,3011.5951901196136,3984.989010028667,3,28.58167037833361,9.335393114360343,5.391268289224104,51.77207246744311,3,1.0,0.0,1.0,1.0,3
