protocol_id,task,mode,seed,fraction,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,SR,fullft,0,0.1,low,7008,120.0,530.0,37.56844013452467,20.440311638296468,191.81951775289318,34.42126146958511,18.925478173173182,188.55202078578327,32.81223346414007,17.6977972309339,192.90047444665063,33.76565093422016,20.06539348924541,197.3327998528736,31.471144308118546,18.98681214410965,197.9831842295012,51.62286758375613,26.526077154020197,182.32910944965724,0.996546803652968,295.4710693359375
SpikeLoRA-TS-R2-corrected-v1,SR,fullft,0,0.1,medium,7005,120.0,530.0,95.94927576862307,62.64451335528508,81.5747291394172,79.16665940761364,52.44736868445147,73.84259362541118,81.0008395542741,53.489380750853535,74.14330904450455,87.60368248338519,59.08466385399589,79.61036679948991,100.05330139164165,65.7462188285049,98.65575995009847,124.57027465788774,82.4549346586196,81.62161627758191,0.9818986438258387,441.3622741699219
SpikeLoRA-TS-R2-corrected-v1,SR,fullft,0,0.1,high,6988,120.0,530.0,87.32012526587334,61.004563091302096,63.32134862192503,95.14866925025767,65.98755242228167,72.50617869504057,91.03651558920575,63.88978574804121,67.97031270620188,90.43337390224188,63.75349378667699,58.77058603126009,90.64041677001286,65.37635623078108,40.521986951585404,66.25122401839921,46.01562726872951,76.8376787255372,0.9921007441327991,461.8307189941406
SpikeLoRA-TS-R2-corrected-v1,SR,lora,0,0.1,low,7008,120.0,530.0,39.73269054905043,20.376435265475756,191.8535062526839,36.83755286900833,19.46928157545116,188.76530595625246,35.144697327640834,17.935794892376418,192.9192984563901,34.980461008086706,19.33340693391077,197.1709322117034,32.86226443676666,18.552046829162666,198.06388342797274,54.75141425985531,26.59164609647777,182.34811121110087,0.9943493150684931,273.44097900390625
SpikeLoRA-TS-R2-corrected-v1,SR,lora,0,0.1,medium,7005,120.0,530.0,89.99372149742078,57.83856339927744,81.03232035213018,80.98544668706786,53.64313453276782,74.14638563836219,82.67092605224495,54.09445194568403,74.71350554106452,85.67975785279306,56.32656604840362,79.39422873431067,91.88437763387971,59.00621529578482,98.25223435150204,106.38357578338083,66.12244917374692,78.6552474954115,0.9795860099928623,407.813232421875
SpikeLoRA-TS-R2-corrected-v1,SR,lora,0,0.1,high,6988,120.0,530.0,73.98771252131317,49.73634208412803,62.84287843798055,75.79460015310836,50.26057105236348,72.19656524633497,75.11225707620153,50.09939489708536,67.27122523466494,75.6703348613093,51.22263223400236,57.40533081209727,81.4292866393739,56.59025524600138,38.99195074159192,60.22878999790257,40.5088569911876,78.34932015521362,0.9904121350887235,425.0171203613281
SpikeLoRA-TS-R2-corrected-v1,SR,spikelora,0,0.1,low,7008,120.0,530.0,35.96414260703657,16.112001443453575,191.80788173627522,31.750188096801768,14.682767056983355,188.58688408692942,29.60070859802894,13.043028186989702,193.07395740504546,28.530771550785907,13.375694973828042,197.27996376619998,26.746800158184673,12.744927080798911,198.07681074568518,55.25780605148559,26.713589918667868,182.0217926775162,0.9946347031963471,256.5955505371094
SpikeLoRA-TS-R2-corrected-v1,SR,spikelora,0,0.1,medium,7005,120.0,530.0,88.3912368030835,55.88319077550982,80.79104177471999,80.98984781164096,52.77320293723303,74.48752777508302,80.82214786576553,52.314317037512964,74.41579295269844,83.4578383649665,54.11228930563862,78.99113189824163,87.5990518696901,54.14576818777952,97.54912633570122,106.46442603369424,66.07037640938496,78.51162991187563,0.9780728051391863,392.73309326171875
SpikeLoRA-TS-R2-corrected-v1,SR,spikelora,0,0.1,high,6988,120.0,530.0,67.38705601953758,44.52928959410328,63.09910366131998,68.46563934182713,45.21192525002229,76.32991892988059,66.38918426389716,43.28358831989745,67.73152447455661,69.11961758087892,45.09390269379378,56.408257253844454,73.46634454384201,49.64328446958702,37.79716015495354,58.61044038419432,39.41374723721588,77.22865749336472,0.9925014310246136,407.2187805175781
SpikeLoRA-TS-R2-corrected-v1,SR,fullft,0,0.2,low,7008,120.0,530.0,43.481200068789434,22.848003655917022,191.55959370892887,39.42382815354964,21.790646498606087,187.9243350871098,37.88216807379185,18.701423738645094,192.5911853118529,39.0833507631711,20.288005246419342,197.07598532813282,37.36759774110694,19.228067040987757,198.0667123784147,59.4973213265992,34.23187575492685,182.13975043913427,0.9956050228310502,319.8288269042969
