task,mode,fraction,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
EC,fullft,0.1,high,5964.9785651213215,350.72335557483393,5093.733451157053,6836.2236790855895,3,4694.948156465147,227.95741559543816,4128.670543718394,5261.2257692119,3,14.69917416793857,0.7938015880045003,12.72726170755373,16.671086628323412,3,0.8580034423407917,0.019702702955255363,0.8090592149068337,0.9069476697747497,3,17101.741861979168,1028.6461907139926,14546.443067609882,19657.040656348454,3
EC,fullft,0.1,low,5580.231026853774,79.67495084694495,5382.307476775477,5778.154576932071,3,4912.82251435391,100.69807606151076,4662.674626111908,5162.970402595913,3,17.20300500297721,0.3712404720702243,16.280792546190998,18.125217459763423,3,0.9183825638084313,0.025270722808933894,0.8556066082763474,0.9811585193405152,3,17101.741536458332,1028.6447074770917,14546.446426653769,19657.036646262895,3
EC,fullft,0.1,medium,6414.684286968135,280.6815627665028,5717.432631915489,7111.935942020781,3,5297.718967026336,223.92449378313765,4741.459687441935,5853.978246610737,3,17.42359061565386,0.6286648588602264,15.861900531726327,18.985280699581395,3,0.826861676703948,0.0214790226493011,0.7735048265299408,0.8802185268779551,3,17101.741536458332,1028.6447074770917,14546.446426653769,19657.036646262895,3
EC,fullft,0.2,high,5627.511327003536,185.65441732501486,5166.320187579148,6088.702466427924,3,4322.58362945831,98.61567728798518,4077.608706540461,4567.558552376158,3,13.73961223920339,0.24160156179863368,13.139440688329064,14.339783790077718,3,0.8807611397972844,0.016662922066764493,0.839368146703791,0.9221541328907779,3,17458.948893229168,1242.6900646182805,14371.935639731699,20545.962146726637,3
EC,fullft,0.2,low,5201.1958911569745,322.07479016573717,4401.117758912107,6001.274023401842,3,4518.3030194367775,321.342198604788,3720.044745515752,5316.561293357803,3,16.008363003923282,0.9367665189992801,13.681305967000926,18.335420040845637,3,0.937252652710066,0.0345489639993499,0.85142826833844,1.023077037081692,3,17458.94921875,1242.6895607981721,14371.937216811062,20545.96122068894,3
EC,fullft,0.2,medium,6239.381530318063,75.08553480081424,6052.85872171473,6425.904338921396,3,5096.823806541858,83.13533852180335,4890.304176943276,5303.343436140441,3,16.934084745778033,0.1484513933311716,16.56531104124676,17.30285845030931,3,0.8389064143007361,0.025388671101990917,0.7758374589658362,0.901975369635636,3,17458.94921875,1242.6895607981721,14371.937216811062,20545.96122068894,3
EC,fullft,0.5,high,7209.261790901474,355.077348345343,6327.20075929943,8091.322822503519,3,5739.2489934066625,323.29043543922074,4936.151030893861,6542.346955919464,3,17.668821664116603,0.8113418065920281,15.653336885266679,19.684306442966527,3,0.7952189711225855,0.03081922268878156,0.7186597777955006,0.8717781644496705,3,18097.295572916668,931.5222516216759,15783.266018357359,20411.325127475975,3
EC,fullft,0.5,low,6382.426908911948,388.5240923822361,5417.279559113626,7347.5742587102695,3,5670.708917982566,332.06133218618066,4845.822840095043,6495.594995870089,3,19.421817846285652,0.916525755199326,17.14504165403277,21.698594038538534,3,0.8947328171302935,0.04707910406114014,0.7777818392980465,1.0116837949625406,3,18097.295572916668,931.5222516216759,15783.266018357359,20411.325127475975,3
EC,fullft,0.5,medium,7888.325315128604,398.63647739936187,6898.057408353813,8878.593221903395,3,6645.358012797534,361.4328741464822,5747.508979875073,7543.207045719994,3,21.27029281030345,0.9915468787834811,18.807153815779593,23.733431804827305,3,0.7461428161743618,0.03622300533012856,0.6561598826019713,0.8361257497467524,3,18097.296223958332,931.5213135864157,15783.268999607788,20411.323448308875,3
EC,lora,0.1,high,5999.521223985816,374.8383199763382,5068.371217534996,6930.671230436636,3,4654.938078429791,328.24403933886333,3839.5346816609663,5470.341475198616,3,14.604481680092436,0.8702718230042351,12.442606625120698,16.766356735064175,3,0.8703193727290114,0.017209823317922465,0.8275678016129298,0.913070943845093,3,17914.095052083332,782.2085843028351,15970.981209385902,19857.20889478076,3
