protocol_id,protocol_date,config_hash,task,seed,target_col,time_col,frequency_minutes,lookback_steps,lookback_minutes,horizons_steps,horizons_minutes,n_features,feature_names,target_feature_index,data_file_sha256,device,torch_version,model,best_epoch,best_val_loss,epochs_ran,train_time_sec,peak_gpu_memory_mb,peak_process_rss_mb,total_params,trainable_params,total_model_size_mb,trainable_parameter_size_mb,trainable_ratio,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,conformal_alpha,conformal_calibration_n,picp95,mpiw95,picp95_h1,mpiw95_h1,conformal_q95_h1,picp95_h2,mpiw95_h2,conformal_q95_h2,picp95_h4,mpiw95_h4,conformal_q95_h4,picp95_h8,mpiw95_h8,conformal_q95_h8,picp95_h24,mpiw95_h24,conformal_q95_h24,encoder_sparsity_pct,spikelora_sparsity_pct,inference_ms_per_sample,inference_ms_per_batch,train_windows,val_windows,calibration_windows,test_windows,model_hparams,prediction_file
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,mlp,3,0.0936749500022553,10,32.53042985000002,24.7314453125,1672.3515625,362245,362245,1.3846025466918943,1.381855010986328,1.0,54.10230058674681,31.0183576695119,110.5036448901742,46.68874054935091,29.74634913981321,109.96843927944168,47.434300017234726,28.28487660241044,109.18856530078888,50.802731097765545,27.922336623961684,109.3860715507459,56.84395990573636,31.85453715010385,109.64832475395129,66.28189848614059,37.28368883127031,114.3268235659432,0.05,5226,0.8865101661825627,285.12033630228683,0.984381696109709,240.3129600385764,162.37908935546875,0.986572067996762,265.568097940451,178.97683715820312,0.9861911337555356,287.1606839744314,197.13755798339844,0.989048140564735,319.97698360690333,221.4560089111328,0.4863577924860721,312.58295595107217,220.7996826171875,,,0.0017742460935998,0.2271034999807852,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_mlp_seed0_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,mlp,4,0.0915136258611494,11,36.49274742900002,24.7314453125,1672.4140625,362245,362245,1.3846025466918943,1.381855010986328,1.0,55.95588678312013,32.18198405906511,110.26528607183266,44.1497137811422,27.37762631652957,109.2135383248631,44.72775154276452,24.81308746446877,108.43848267732872,51.54213835224672,29.707469404881856,109.44216482517344,59.50266073657038,34.37920610217059,112.50208331314433,74.21845244105542,44.63253100727474,111.7301612186537,0.05,5226,0.8844721679920003,278.17940324055206,0.9863339840959954,224.29333802017905,161.33941650390625,0.9852864149326224,244.1563286712968,174.0224609375,0.9843340793295556,270.3756766823563,192.8964233398437,0.9838102947478692,310.5931822209748,220.9627685546875,0.4825960668539593,341.4784906079534,229.83892822265625,,,0.0018057847656294,0.2311404500005665,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_mlp_seed1_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,2,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,mlp,2,0.0932305312782834,9,28.98388092100004,24.7314453125,1672.421875,362245,362245,1.3846025466918943,1.381855010986328,1.0,56.54835564389822,31.859201747897377,110.76134222299618,48.64456354028376,28.93936315946741,110.20617831801398,52.22799641114434,31.41734749364556,111.2727323906414,54.29221039894985,30.98443953506516,111.60641551569051,61.37403221430621,34.982403777121455,110.69343158440476,64.65376646994534,32.9724547741873,110.0279533062304,0.05,5226,0.8840531403266512,287.5999564107671,0.9837626779677158,242.7376204661816,165.40789794921875,0.9842388457692492,264.16119406962474,181.01593017578125,0.9847626303509356,284.81432334536976,198.4420166015625,0.9837150611875624,317.7008342231593,221.2041702270508,0.4837864863577925,328.58580994950006,230.878662109375,,,0.0017916367186288,0.2293294999844874,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_mlp_seed2_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lstm,4,0.0886363970979027,11,94.83887457600008,257.513671875,1702.73046875,205445,205445,0.7862863540649414,0.7837104797363281,1.0,50.313773684860685,22.49414365917471,108.14563621765436,36.047150062052175,16.221194041898652,106.3275204652487,41.05069793134188,18.59085846637512,106.86661158611756,47.82715119732455,21.57454574444732,107.63118492802757,54.54608198514908,24.867662818436056,108.31896906387168,66.40866533991003,31.21645722471641,111.58389504500614,0.05,5226,0.8866815865911147,286.5151481943388,0.9846197800104756,199.4930986243029,139.255126953125,0.9865244512166088,249.86810086941776,174.77850341796875,0.9855721156135422,276.8130330636634,193.97149658203125,0.9875244035998286,326.8916130587235,230.28819274902344,0.4891671825151183,379.5098953555864,265.509521484375,,,0.0355202625001105,4.546593600014148,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_lstm_seed0_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lstm,3,0.0883854153828743,10,87.6693915840001,257.513671875,1704.19140625,205445,205445,0.7862863540649414,0.7837104797363281,1.0,53.63192422327936,27.89722356309914,109.7193064321944,46.02005625368525,26.440844003112367,108.24969415879536,46.18292028721294,24.185461630021315,108.81726447177476,51.94849924026693,26.02367646632538,109.63352834881644,57.01751614714036,29.41995692603912,110.3017783806344,64.66502187972294,33.41617878999752,111.59426680095112,0.05,5226,0.8864530260463788,281.99411762964667,0.9838579115280224,209.16452122202352,144.9248046875,0.9860959001952287,250.4855609587003,173.90374755859375,0.986286367315842,283.72221911377545,196.1351318359375,0.9877148707204418,323.4269000619634,225.1976928710937,0.4883100804723584,343.1713867917707,236.209716796875,,,0.0349987062500112,4.479834400001437,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_lstm_seed1_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,2,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,lstm,5,0.0896854339701391,12,105.75330335099989,257.513671875,1705.25390625,205445,205445,0.7862863540649414,0.7837104797363281,1.0,49.53284971572732,22.04621576894369,108.82231096381123,36.05500744398183,16.03294229423436,105.8073929851399,40.696180248741626,16.32223768894073,106.35191945200924,46.75775269676124,18.985879753755448,107.88018955887352,53.81958792030152,25.23737832944873,109.73160165978186,65.02720872848484,33.65264077833917,114.34045116325156,0.05,5226,0.887129184324556,282.4063847962632,0.9835245940669493,199.17342344885023,134.97528076171875,0.9854768820532356,245.9078805811842,170.0096435546875,0.986857768677682,282.8163650492351,197.3285522460937,0.9890005237845816,333.72016799023623,236.542724609375,0.4907861530403314,350.4140869118101,250.5955810546875,,,0.035730482422025,4.573501750019204,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_lstm_seed2_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,gru,3,0.0855072415335808,10,67.76692820700009,250.671875,1709.87109375,154245,154245,0.5909738540649414,0.5883979797363281,1.0,48.37290070520592,21.72822254755447,108.10998157422762,36.64824987962592,16.41557126589931,105.91713551774887,40.146155231075056,17.65697006102795,106.49113201365024,47.19216838905882,20.690240351292445,107.53704106627416,52.58764212560127,23.841327509751327,108.64793689734584,61.25617317878977,30.03700354980132,111.95666237611904,0.05,5226,0.8856054473596495,270.4456704520389,0.9842388457692492,203.00724800218487,140.07501220703125,0.985857816294462,245.2796590073121,167.11273193359375,0.9847150135707824,274.8818183013595,190.9158630371093,0.986714918337222,320.8022372927542,223.6651611328125,0.486500642826532,308.2573896565838,218.4036865234375,,,0.0229145351559267,2.9330604999586285,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_gru_seed0_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,1,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,gru,4,0.0842150793853866,11,74.31274406800003,250.671875,1798.7109375,154245,154245,0.5909738540649414,0.5883979797363281,1.0,54.66289368874388,26.597826095631188,108.84978278466302,38.84299162599182,20.226026989234004,106.73340100794572,41.20924837397466,18.78234196830877,107.04505201558024,48.95991132876384,23.429294800339445,107.67497206890768,59.08365324672579,30.37911025392834,109.34303717072298,76.45409461781641,40.17235646634538,113.45245166015854,0.05,5226,0.8846054949764297,277.1004744152314,0.983191276605876,189.4655943620285,133.17462158203125,0.9857625827341556,243.33629451504856,167.74014282226562,0.9861911337555356,276.848298316172,194.36529541015625,0.985857816294462,331.4336278172574,231.66021728515625,0.4820246654921194,344.4185570656507,237.0450134277344,,,0.0228314082029612,2.922420249979041,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_gru_seed1_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,2,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,gru,4,0.0864291804882926,11,74.09444395499986,250.671875,1748.53515625,154245,154245,0.5909738540649414,0.5883979797363281,1.0,50.45797646803251,25.289817841301293,108.37021425086742,36.8758584839486,17.47387721178549,106.15270323561371,41.37679611593542,19.27616297613467,107.09145059174816,49.454509946212994,26.39918552760334,108.16725203911608,55.82985667300458,31.3726632687814,109.48079017678948,63.99568188828376,31.927200222201567,110.95887521106968,0.05,5226,0.8857578210561402,267.5497515770908,0.9837150611875624,192.37166028803605,131.04141235351562,0.985857816294462,240.0213847489341,166.19317626953125,0.9855244988333888,265.89205895271266,187.3086853027344,0.9882386553021284,312.46885392992937,223.274658203125,0.4854530736631589,326.9947999658417,224.8519897460937,,,0.0256111105469969,3.2782221500156083,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_gru_seed2_SpikeLoRA-TS-R2-corrected-v1.npz
SpikeLoRA-TS-R2-corrected-v1,2026-07-20,1c553ec25a0e,SR,0,GHI,date,15,96,1440,"[1,2,4,8,24]","[15,30,60,120,360]",12,"[""Temperature"",""Cloud Type"",""Dew Point"",""Relative Humidity"",""Solar Zenith Angle"",""Pressure"",""Wind Direction"",""Wind Speed"",""GHI"",""cal_hour"",""cal_dayofweek"",""cal_month""]",8,d30c392eddf014df2a416d4071fc87fbde68c18b8222041368028de94289252f,cuda,2.11.0+cu128,tcn,3,0.0895333996921538,10,98.32385380899996,116.16259765625,1812.1796875,253445,253445,0.9726438522338868,0.966815948486328,1.0,49.34314511608299,23.133825980108764,108.34546165000734,37.5053982083119,18.44887212314899,106.2278676583361,40.25598014718252,16.875386347583824,106.63709705303826,47.28197592272496,20.971024317750704,107.79267790396732,53.57124256231157,25.97902785159935,108.9765767731392,63.56939311124937,33.39481926046095,112.09308886155588,0.05,5226,0.8862625589257654,278.529044116912,0.9829531927051092,201.53553701894555,134.62039184570312,0.9850007142517024,242.81228231358577,166.46661376953125,0.9850007142517024,275.4332282881607,189.3656005859375,0.9869053854578352,319.1753313929108,221.2338256835937,0.491452787962478,353.68884157095687,249.6912841796875,,,0.0268216324219139,3.433168950004984,73476,5226,5226,21001,"{""delta_threshold"":0.05,""dropout"":0.1,""encoder_mode"":""delta"",""patch_len"":16,""patch_stride"":8,""spike_steps"":8,""transformer_d_model"":128,""transformer_heads"":4,""transformer_layers"":3}",/content/drive/MyDrive/SpikeLoRA_TS_R2_results/predictions/E1/SR_tcn_seed0_SpikeLoRA-TS-R2-corrected-v1.npz
