task,fraction,n_seeds,rmse_spikelora_mean,rmse_lora_mean,rmse_difference_lora_minus_spikelora,relative_improvement_pct,spikelora_win
EC,0.1,3,6008.9678695961675,5996.202663604654,-12.76520599151354,-0.21288816785654904,0
EC,0.2,3,6072.5675941682,5827.668279142939,-244.89931502526088,-4.202355098037214,0
EC,0.5,3,6826.776255434963,7112.7095482538325,285.93329281886963,4.020033306281516,1
SR,0.1,3,69.34087816455167,72.42306717035103,3.082189005799364,4.2558112024578385,1
SR,0.2,3,72.05903095574169,79.72745923716485,7.668428281423161,9.618302595862145,1
SR,0.5,3,115.9091730960921,127.00661061238092,11.09743751628882,8.737684962051114,1
WP,0.1,3,970.8951773657355,966.8915332151764,-4.003644150559126,-0.41407376246701877,0
WP,0.2,3,975.2492628043141,998.3081245081895,23.058861703875436,2.3097940543392097,1
WP,0.5,3,1015.4086243133514,989.6050023191021,-25.803621994249283,-2.607466810877013,0
WS,0.1,3,0.6101237225748538,0.6696720358051477,0.05954831323029386,8.89216064677075,1
WS,0.2,3,0.662917818998682,0.6878714906134333,0.02495367161475137,3.6276647535571023,1
WS,0.5,3,0.6607767483239246,0.6722168089273949,0.011440060603470248,1.701840901854906,1
